,GameId,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,X3FGM,X3FGA,FTA,FTM,Fouls,Winner
72,36,Georgia Tech Yellow Jackets,1,51,13,17,6,6,29,6,23,50,19,1,10,24,12,17,
73,37,Florida State Seminoles,0,82,12,9,4,4,36,16,20,67,28,8,25,24,18,25,Boston College Eagles
74,37,Boston College Eagles,1,87,16,13,6,4,33,10,23,55,27,13,21,28,20,20,
75,38,North Carolina Tar Heels,1,103,25,12,9,2,32,10,22,67,36,16,34,17,15,13,North Carolina Tar Heels
76,38,Virginia Tech Hokies,0,82,21,15,8,1,30,10,20,61,27,13,28,16,15,18,
77,39,Florida State Seminoles,1,77,14,8,1,1,28,5,23,55,25,10,22,21,17,15,Florida State Seminoles
78,39,Clemson Tigers,0,68,13,11,1,1,31,6,25,58,26,5,17,14,11,17,
79,40,Notre Dame Fighting Irish,0,61,15,13,9,4,34,15,19,65,21,7,30,15,12,12,Georgia Tech Yellow Jackets
80,40,Georgia Tech Yellow Jackets,1,63,11,14,8,2,29,7,22,52,24,5,19,15,10,15,
81,41,Virginia Cavaliers,1,68,14,7,6,6,39,12,27,57,22,7,21,21,17,15,Virginia Cavaliers
82,41,Wake Forest Demon Deacons,0,45,10,10,5,3,33,10,23,55,17,6,24,7,5,18,
83,42,Pittsburgh Panthers,1,64,6,14,5,3,30,8,22,53,22,3,15,20,17,17,Duke Blue Devils
84,42,Duke Blue Devils,0,79,15,12,9,7,35,14,21,65,28,7,23,20,16,17,
85,43,North Carolina State Wolfpack,0,77,14,23,6,2,36,13,23,65,30,12,27,7,5,23,Louisville Cardinals
86,43,Louisville Cardinals,1,84,13,15,5,3,24,6,18,53,26,8,23,29,24,12,
87,44,Miami (FL) Hurricanes,0,53,11,12,4,1,32,10,22,59,20,8,29,6,5,7,Syracuse Orange
88,44,Syracuse Orange,1,73,22,6,7,11,27,4,23,53,26,14,30,8,7,8,
89,45,Georgia Tech Yellow Jackets,0,53,11,18,10,3,32,9,23,58,24,3,10,6,2,17,Duke Blue Devils
90,45,Duke Blue Devils,1,66,14,12,13,7,38,11,27,58,24,2,21,19,16,13,
91,46,Virginia Cavaliers,0,82,12,2,2,5,44,10,34,67,35,8,18,7,4,9,Virginia Cavaliers
